[2024-09-01T22:57:03.554+0530] {processor.py:186} INFO - Started process (PID=2340) to work on /Users/ravipal/Desktop/Workspace/airflow_tutorial/py_env/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-09-01T22:57:03.554+0530] {processor.py:914} INFO - Processing file /Users/ravipal/Desktop/Workspace/airflow_tutorial/py_env/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-09-01T22:57:03.555+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.555+0530] {dagbag.py:587} INFO - Filling up the DagBag from /Users/ravipal/Desktop/Workspace/airflow_tutorial/py_env/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-09-01T22:57:03.574+0530] {processor.py:925} INFO - DAG(s) 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_1_and_2', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1' retrieved from /Users/ravipal/Desktop/Workspace/airflow_tutorial/py_env/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-09-01T22:57:03.616+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.616+0530] {dag.py:3211} INFO - Sync 10 DAGs
[2024-09-01T22:57:03.623+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.623+0530] {dag.py:4138} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-08-28 01:00:00+00:00, run_after=2024-08-28 01:00:00+00:00
[2024-09-01T22:57:03.624+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.624+0530] {dag.py:4138} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-09-01T22:57:03.625+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.625+0530] {dag.py:4138} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-09-01T22:57:03.625+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.625+0530] {dag.py:4138} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-09-01T22:57:03.625+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.625+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-09-01T22:57:03.626+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.626+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-09-01T22:57:03.626+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.626+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-09-01T22:57:03.626+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.626+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-09-01T22:57:03.627+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.627+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_produces_1 to 2024-08-31 00:00:00+00:00, run_after=2024-09-01 00:00:00+00:00
[2024-09-01T22:57:03.627+0530] {logging_mixin.py:190} INFO - [2024-09-01T22:57:03.627+0530] {dag.py:4138} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-09-01T22:57:03.638+0530] {processor.py:208} INFO - Processing /Users/ravipal/Desktop/Workspace/airflow_tutorial/py_env/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.087 seconds
